Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
478d7e74593c2abb3ed9e64f2a79b8d03f53dc33,"fix(logger): filter values before logging

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['a7eb892e9e0f947fe88ec7aa3c2164b81e9ab01a'],False,['raylab\\logger\\torch_tensorboard_logger.py']
521a4fd978ed5a61db7ea2ad96f7f2d6580e1572,"fix(logger): avoid closing non-existent file logger

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['478d7e74593c2abb3ed9e64f2a79b8d03f53dc33'],False,['raylab\\logger\\config_json_logger.py']
4eab9a9e8b2205e25e979a4f553e0d27573658e6,"fix(logger): exclude ""done"" from tensorboard logs

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['521a4fd978ed5a61db7ea2ad96f7f2d6580e1572'],False,['raylab\\logger\\torch_tensorboard_logger.py']
62e4903e1f427b81338802c49dce9183392614c8,"fix(scripts): require file path for experiment analysis

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['4eab9a9e8b2205e25e979a4f553e0d27573658e6'],False,['scripts\\best_checkpoint.py']
2007715319c4a665062c1165b90f5ec18104a3b6,"fix(naf): update twin target network

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['663ba73dcb69c52de6dcd4c3ccdf3ff2104ecb55'],False,"['raylab\\algorithms\\naf\\naf_policy.py', 'raylab\\utils\\pytorch.py']"
72bda3f1b31fc4a4f9d98d396b8ed884937e30d5,"fix(modules): use correct activation name default

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['87717e845847b95e38b5a1033a47c5db6925bb29'],False,"['raylab\\modules\\fully_connected.py', 'raylab\\modules\\state_action_encoder.py']"
b7db6a39839e0d66c67c45a99e57b0e96d03cbb3,"fix(modules): avoid calling the activation string

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['531786cc4db624f716cf578ed3354eb2f8a13863'],False,['raylab\\modules\\state_action_encoder.py']
338f1a59dd1d3c34367cb519bfc7e2286bf0acd9,"fix(utils): concatenate lists with lists

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['b7db6a39839e0d66c67c45a99e57b0e96d03cbb3'],False,['raylab\\utils\\replay_buffer.py']
1069476bbb5a8fbabf412ccc15e1958d40924dfb,"fix(modules): ensure scale_diag is positive

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['3c17d62c2e583f8f202bbc7078348d30aefe4129'],False,['raylab\\modules\\diag_multivariate_normal_params.py']
d8d2e3825e5f7dba4f5bc57057b3ea3e90360cb9,"fix(svg): ensure scale_diag is positive

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['1069476bbb5a8fbabf412ccc15e1958d40924dfb'],False,['raylab\\algorithms\\svg\\svg_module.py']
6ef23099cfe3d1a43f6eb56465352338097ce005,"fix(policy): remove redundant braces in repr

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['d8d2e3825e5f7dba4f5bc57057b3ea3e90360cb9'],False,['raylab\\policy\\torch_policy.py']
11e738bb9be622df84b518a54ffe7616b3330060,"fix(svg): correctly calculate diagonal Normal log prob

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['62ce750660301b3294d9250139be5c6228e3a0de'],False,['raylab\\algorithms\\svg\\svg_module.py']
1a0027da9ce3332ce56df213c29b8b758a13c137,"fix(svg): use float values in exponent

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['3e76d29a3cc268996932fdef8c8e2df4aa793bea'],False,['raylab\\algorithms\\svg\\svg_inf_policy.py']
602bb0dbd03443ba72380671ed690c274ac81077,"fix(envs): avoid accessing missing attributes

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['688f6d2f3cf811a3637d465c851b232a85f798b0'],False,"['raylab\\envs\\registry.py', 'raylab\\envs\\time_aware_env.py']"
a00106c907ac913177d9d589bbe4b4f65fa24791,"fix(envs): account for observation variables in reward function

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['60446204575b4fab3dc95045bea879e928a1488c'],False,"['raylab\\envs\\cartpole_swingup.py', 'raylab\\envs\\registry.py']"
10a783b66c2e00ed603487c4d808cb47455a9586,"fix(svg): use TorchPolicy init in SVG(1)

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['f66069152aa557b8c47382731f9f203df1656b8c'],False,['raylab\\algorithms\\svg\\svg_one_policy.py']
efdd582147c4c5ccac81669d343ee204577a834e,"fix(svg): minimize negative cummulative reward

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['130ffc1df3bed4cfd0c459cd392ef3022f30e6a5'],False,['raylab\\algorithms\\svg\\svg_inf_policy.py']
cb6b6912edc44919b4f5dfc3f5827a39d56af8b5,"fix(envs): cast reward to python float and clamp time variable

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['c4facd6f9912dde0bd458b99f570fa3cd9cc1bc0'],False,['raylab\\envs\\navigation.py']
dc6b91b1210922d65c722af46cf49a4f8e752ea4,"fix(algorithms): rename SVG(one) to SVG(1)

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['baaec66a75d18b920c52304e75a0b05773cef2ba'],False,['raylab\\algorithms\\registry.py']
5395f1b36a1fb1f36a3eeaba5d3c6f93d4f1415c,"fix(svg): regress towards the state difference in SVG(1)

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['89e897fe87992ae228ff6831f5f3b652f7cdbf7b'],False,['raylab\\algorithms\\svg\\svg_one_policy.py']
4f98d617f253bbdf0efe9c60ab8bb07fd97843c4,"chore(svg): log online model error and importance sampling ratio

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['a3d70583caf179d8f07ab8c4aea686cca0aba1d0'],False,['raylab\\algorithms\\svg\\svg_inf_policy.py']
f3397f285757163bf67dcd774c1bf45286b6b1f2,"fix(svg): register model submodules with `nn.ModuleList`

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['4f98d617f253bbdf0efe9c60ab8bb07fd97843c4'],False,['raylab\\algorithms\\svg\\svg_module.py']
e16c26d28aacd8df64f4fd701a5c11883e96a03f,"chore(examples): fix typos and update defaults for SVG(inf)

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['f3397f285757163bf67dcd774c1bf45286b6b1f2'],False,"['examples\\svg_inf_cartpole_defaults.py', 'examples\\svg_inf_navigation_defaults.py']"
7af748425ad788f2bc0a52afd518620745f20510,"fix(envs): account for batched states in reward_fn

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['5701f1239842dfefb3866c0c740c1c41cc05fbf1'],False,['raylab\\envs\\navigation.py']
4b5d65100a423bd726aaee34fb7a3f98a980d981,"fix(svg): minimize negative TD target in SVG(1)

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['7af748425ad788f2bc0a52afd518620745f20510'],False,['raylab\\algorithms\\svg\\svg_one_policy.py']
8fa16a79179fbe04a875e13504896a0cadd7d423,"chore(examples): update SVG(1) navigation and fix typos

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['4b5d65100a423bd726aaee34fb7a3f98a980d981'],False,['examples\\svg_one_navigation_defaults.py']
2ab9c8f1af6be8f348313a10a69aafb58c7267e6,"fix(svg): disable grad for extra info and recompute logits

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['3e87248900337a8e2077be26225b6156a9955a8b'],False,['raylab\\algorithms\\svg\\svg_one_policy.py']
cc10df29c8426458434e4fdc2e411040c4d61ed1,"fix(tests): change main critic parameters before updating target

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['6f1d0aaede15451bdc1420c07b600c0734ede3ea'],False,['tests\\algorithms\\svg\\test_value_function.py']
523ecf0e1a7a2455980cff939ba74aa4a68a9145,"fix(svg): initialize target critic to be equal to the main one

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['cc10df29c8426458434e4fdc2e411040c4d61ed1'],False,['raylab\\algorithms\\svg\\svg_base_policy.py']
25ab9630da4c8bce49310f40875cd8511c31f113,"fix(utils): only calculate recommended gain if not specified

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['738249d96e0fae1721b2725eee3d62358313c74b'],False,['raylab\\utils\\pytorch.py']
e5424702552b351fab4c81f630945d3ceb7c3442,"fix(naf): give higher priority to param noise mixin

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['6bc8cde3236fabd2d5d45b7b252ebeb77b0dd78d'],False,"['raylab\\algorithms\\naf\\naf_policy.py', 'raylab\\policy\\parameter_noise_mixin.py']"
9fffa94b3655460884a7119f867e64567e6dc255,"fix(svg): freeze model and critic for SVG(1) loss

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['b91d7c5fcf4cb47a5f377d3a04e9cfa2ed38cc8e'],False,"['raylab\\algorithms\\svg\\svg_base_policy.py', 'raylab\\algorithms\\svg\\svg_inf_policy.py', 'raylab\\algorithms\\svg\\svg_one_policy.py']"
7ed10df8b5dbc0b122513177e6b568625557b7b0,"docs(modules): fix typo

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['2e9fde789fccf0dcc404609f3e016bbe27d4ada2'],False,['raylab\\modules\\diag_multivariate_normal_params.py']
ef843872978c0afc7594cc9e3edddaa480d2daad,"fix(tests): use make_module in  NAF module tests

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['b706df4768c7438c93ab16f3afa487f90a438d51'],False,['tests\\algorithms\\naf\\test_module.py']
89d2a33229869bb9f7165b0f5fdf3af071784d30,"fix(modules): call rsample() to produce output

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['ef843872978c0afc7594cc9e3edddaa480d2daad'],False,['raylab\\modules\\diag_multivariate_normal_rsample.py']
ab6dfc0803a9f1a2f12997559e3fe8c7a4dfcc9f,"fix(distributions): avoid computing the log of zero

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['89d2a33229869bb9f7165b0f5fdf3af071784d30'],False,['raylab\\distributions\\transforms.py']
2bf8614c1379bc82ffd32fdb18e6e83541c31ffb,"fix(sac): log correct alpha grad stats

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['b6a45d00a8bcaae7d33e404a5753e501e4fb373f'],False,['raylab\\algorithms\\sac\\sac_policy.py']
bd378359f84c5475e41eafb559df098999e37677,"fix(envs): use correct state slice for reward_fn in Reacher

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['9329f7a1fb1a497ecd92309f07f52aa392ec03b2'],False,['raylab\\envs\\reacher.py']
5e7f06176baff442256027f93f4f97b6d7b1fb2e,"fix(tests): import sampling module from appropriate module

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['0f347a24015fe5696e1a3cdf1c1e6c3eea186e46'],False,['tests\\modules\\test_diag_multivariate_normal_rsample.py']
888029a9d62d8b550ce694a38f6c5ff77bb33c1a,"fix(svg): log mean & std over trajectory actions

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['b10c077b57199a1c0bdc385b612b04c18f7d4778'],False,['raylab\\algorithms\\svg\\__init__.py']
dfa6d460959bb8755463c075d6ee8602a937021c,"fix(svg): calculate KL against policy at beginning of replay

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['888029a9d62d8b550ce694a38f6c5ff77bb33c1a'],False,"['raylab\\algorithms\\svg\\svg_base_policy.py', 'raylab\\algorithms\\svg\\svg_inf_policy.py', 'raylab\\algorithms\\svg\\svg_one.py', 'raylab\\algorithms\\svg\\svg_one_policy.py']"
9098da86321e5503b12776699dd4ecfba9f0ac6d,"fix(svg): calculate timesteps_this_iter by steps_sampled

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['dfa6d460959bb8755463c075d6ee8602a937021c'],False,['raylab\\algorithms\\svg\\svg_one.py']
82927d78e47cea2499c57e288e9cb684c6b4e219,"fix(sac): update num_steps_sampled inside loop

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['9098da86321e5503b12776699dd4ecfba9f0ac6d'],False,['raylab\\algorithms\\sac\\sac.py']
bc5b331b0a69b1a2a0863cbc9c66bae89bf5dac1,"fix(modules): make DiagMultivariateNormalParams TorchScript friendly

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['ff6828a1873c622a3ecceb5c62510a6da734cd3f'],False,['raylab\\modules\\diag_multivariate_normal_params.py']
2e558fa4f707f17bf9fcda35f788c762b947ee2d,"fix(sac): compute target entropy based on first action shape

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['bc5b331b0a69b1a2a0863cbc9c66bae89bf5dac1'],False,['raylab\\algorithms\\sac\\sac_policy.py']
a39cde9cab3e7b4bc97ee01910ab1029c1afbf6c,"fix(tests): use correct target entropy

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['47e9b822b6aab0b10d0dfd4268bc6c852d6c155f'],False,['tests\\algorithms\\sac\\test_entropy_coeff.py']
642cc7971f24a990141b54170cdf5943c2826815,"fix(sop): make module consistent in both training and evaluation

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['0323940ad61f527ff106d66a776d6e5291eaa325'],False,['raylab\\algorithms\\sop\\sop_policy.py']
e68b027b034db918dfa8ff5e4799eb5ef936f64b,"fix(naf): compute action distance before squashing

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['13c7b37686bc7b7850d482fdf0405e50a2205bfd'],False,"['raylab\\algorithms\\naf\\naf.py', 'raylab\\algorithms\\naf\\naf_policy.py']"
2f3913e8da6038563e04ead3e902dcd4d163d479,"fix(sop): compute action distance before squashing

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['43377a33a8c15122753bbace716c9d8147e90aaf'],False,['raylab\\algorithms\\sop\\sop_policy.py']
adffddb885295d95925a46d5dec9337294d27f6e,"fix(policy): always create param noise spec

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['3e48dfb8ba7795addf974b15d6df44753773d5d3'],False,['raylab\\policy\\parameter_noise_mixin.py']
53dc05dff0e88a2e69df927197e390edbd723107,"fix(examples): put proper environment name in examples

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['20291c5a8761caf644aa2bdc88db07fb67d9f236'],False,"['examples\\SAC\\walker_defaults.py', 'examples\\SOP\\walker_defaults.py']"
c9dc2d2b4ea9f75404eb3cbf0c585c55162f7417,"fix(examples): remove TimeLimitedEnv

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['dca2a077ef467884e2ecc9ccaae0efc759cc70ba'],False,"['examples\\NAF\\exploration_experiment.py', 'examples\\NAF\\reacher_defaults.py', 'examples\\PG\\cartpole_defaults.py', 'examples\\SAC\\cartpole_defaults.py', 'examples\\SAC\\cheetah_defaults.py', 'examples\\SAC\\hopper_defaults.py', 'examples\\SAC\\reacher_defaults.py', 'examples\\SAC\\walker_defaults.py', 'examples\\SOP\\hopper_defaults.py', 'examples\\SOP\\swingup_defaults.py', 'examples\\SOP\\walker_defaults.py', 'examples\\SVG(1)\\cartpole_defaults.py', 'examples\\SVG(1)\\cheetah_defaults.py', 'examples\\SVG(1)\\reacher_defaults.py', 'examples\\SVG(inf)\\reacher_defaults.py']"
1ccaf1fa2ceda82b73c9ac5e6975408af98b473b,"fix(tests): use updated configs module test for NAF

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['40963a74e100f7276313c201a3893846a1f99d3d'],False,"['raylab\\algorithms\\naf\\naf.py', 'tests\\algorithms\\naf\\test_module.py']"
be249d5cebfbb25762a054af86f32599dad907f7,"fix(tests): cleanup pytest warnings

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['06b6410fbd33ea223f1222013d43a188ecd9ce7f'],False,"['tests\\algorithms\\sop\\test_critic.py', 'tests\\algorithms\\sop\\test_policy.py', 'tests\\algorithms\\svg\\test_value_function.py', 'tests\\modules\\test_dist_ops.py']"
ea6f5e2d6a11dd8eceeae1a064d45ff0e63a9ec8,"fix(mapo): avoid returning tensors in info dict

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['14cbf19df96607b0b32c0731a89668318e8e6fd0'],False,['raylab\\algorithms\\mapo\\mapo_policy.py']
2dc36c33c8989d001a71158d8b4a3f43ba0b77af,"chore(mapo): fix typo in docstring

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['ea6f5e2d6a11dd8eceeae1a064d45ff0e63a9ec8'],False,['raylab\\algorithms\\mapo\\mapo_module.py']
74aa39df82e65efb941d26dbee76af44ea53b2c6,"fix(mapo): correctly compute reward in model-aware dpg

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['f184e013fa5feb62691f0706854bde7fe8edc7b2'],False,['raylab\\algorithms\\mapo\\mapo_policy.py']
1c5e7358db357701c9dbaa26d98a5d7deda09437,"fix(tests): correctly reuse fixtures

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['74aa39df82e65efb941d26dbee76af44ea53b2c6'],False,"['tests\\algorithms\\conftest.py', 'tests\\algorithms\\mapo\\conftest.py', 'tests\\algorithms\\sac\\conftest.py', 'tests\\algorithms\\sop\\conftest.py', 'tests\\algorithms\\svg\\conftest.py']"
5f5cb6050f8edb9929912b594947e3038cdbe206,"fix(mapo): zero critic grads before computing the loss

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['b95ac77014bb2cb3249af7704351f67764453f51'],False,['raylab\\algorithms\\mapo\\mapo_policy.py']
eea99b6f4ccd44706780d8a288163b30767b4131,"fix(modules): detach samples before computing log_probs

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['b79e6b93366aa040c951bef24c492f0d9b5ed753'],False,['raylab\\modules\\dist_ops.py']
48ed0fd0e3f08fbed0db338f8debccae46d7d041,"fix(algorithms): log evaluation metrics only if needed

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['f0720ba4269df3fa5154b186373720616d280c3b'],False,['raylab\\algorithms\\trainer.py']
ed44a6689d84eb3a1d6d202b56956dd6970a54d0,"fix(examples): use a network bottleneck for random walks

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['1601ae633967781772bebfead2c9b5c586e95d53'],False,['examples\\MAPO\\navigation_gaussian_walks.py']
1404ed47a61d036691e74ae6165ce0655bec910e,"fix(envs): enable proper reseting of IBEnv and IDS

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['563fed5d4a15cdecc19795e5786a78875521748c'],False,"['raylab\\envs\\industrial_benchmark\\ids.py', 'raylab\\envs\\industrial_benchmark\\openai_ib.py']"
0b4006b84f68e84e4cf1cda623f208793165e98c,"fix(envs): cast info to dict so that rllib does not complain

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['7d052760c807dc1db30cd2c0aacee1bbcd5b0df8'],False,['raylab\\envs\\industrial_benchmark\\openai_ib.py']
ab488630f66b7b29c1588f971b3e7fa32c5c0206,"fix(envs): use unconstrained space for additional markovian variables

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['0b4006b84f68e84e4cf1cda623f208793165e98c'],False,['raylab\\envs\\industrial_benchmark\\openai_ib.py']
82bec219f08c4ba38d6b9d534609de9b06425db6,"fix(envs): use unconstrained observation_space for IB

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['ef6a78f56aec939426b527598aa7fd6e10d1eed0'],False,['raylab\\envs\\industrial_benchmark\\openai_ib.py']
c05c816a0ffd9b886cf48b20da1c55ac1f2391d8,"bugfix(env): change action space to normalized actions; reward in batch

Signed-off-by: Thiago P. Bueno <thiago.pbueno@gmail.com>",['cb5a89cb93ed6b59e4e66a726d874527cd4addce'],False,['tests\\envs\\test_reservoir.py']
2fa3a888eac839a10ce175dd42a2efd6f2ecc52e,"bugfix(env): fix reservoir obs and action spaces

Signed-off-by: Thiago P. Bueno <thiago.pbueno@gmail.com>",['c05c816a0ffd9b886cf48b20da1c55ac1f2391d8'],False,['raylab\\envs\\reservoir.py']
fd0d5cef1705d3d067b27a8c8304e9a91eae58ff,"fix(mapo): squeeze singleton baseline dimension

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['7bcb3d0959076ea1ca605d990e7098e977d75e15'],False,['raylab\\algorithms\\mapo\\mapo_policy.py']
e54a327b439277c5dd8cbd2627463f1091b69f01,"chore(scripts): expose bug by renaming SOP to SAC

By renaming SOP to SAC (both in registry.py and SOPTrainer._name), subsequent trials
fail giving ""ImportError: Could not import tensorflow""

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['47cb3a162ee9c9b45cbc50db1796c1a4391497e2'],False,"['raylab\\algorithms\\off_policy.py', 'raylab\\algorithms\\registry.py', 'raylab\\algorithms\\sac\\__init__.py', 'raylab\\algorithms\\sac\\sac.py', 'raylab\\algorithms\\soft_actor_critic\\__init__.py', 'raylab\\algorithms\\soft_actor_critic\\sac.py', 'raylab\\algorithms\\soft_actor_critic\\sac_policy.py', 'raylab\\algorithms\\sop\\sop.py', 'scripts\\test_sac_crashes.py', 'scripts\\test_sop_crashes.py']"
7e3a9b1654012f9ff759ecaf0e08bc2c05db3207,Merge branch 'bugfix/sac-crashes' into develop,"['b73aa99c1dd4061bb9ded02c1de4800158c12c7a', 'a125e7ee515e3deccba0e65a7f56ae6b5aa59346']",True,[]
3cc65cde0c82204c2e0b1dcd331ca79d04745792,"fix(envs): cast sample_shape to torch.Size

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['5ef9981012ac6b142b531467f204680ac77710c2'],False,['raylab\\envs\\cartpole_swingup.py']
43c39971592a6a787f2c3f6c9a3e23f561994fe5,"fix(envs): correct logp calculation in Reservoir's transition_fn

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['77502307affdcf6cf1b6c4e652fc66fbd26c6323'],False,"['raylab\\envs\\reservoir.py', 'tests\\envs\\test_reservoir.py']"
f0cb6c6c9e0f9f0a66b21cb111c469c9f788591f,"fix(examples): properly use env_config for Reservoir

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['43c39971592a6a787f2c3f6c9a3e23f561994fe5'],False,['examples\\MAPO\\reservoir_defaults.py']
525899dec98b051bf2899c48236658d0f1ab7589,"fix(envs): compute deceleration with multiple centers

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['392156e80282b45452006245aed1fd4db3a1933e'],False,"['raylab\\envs\\navigation.py', 'tests\\envs\\test_navigation.py']"
932521b3e8496f92b8215307fed52ce56e6e4a1c,"Merge tag 'v0.4.0' into develop

* Unify raylab and viskit CLIs
* Implement MAPO (WIP)
* Fix naming error with SAC","['4ecdd424b0faf47f92ca47eff09b117a5eb13947', 'c6400fc99f2e04a76d165e14ae43380838a66b7f']",True,[]
b367b287191afad6f128ebea23c2ae6a061a37c1,"fix(envs): keep dim when calculating convoluted cost

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['55178cb343cf46fa4e3d91629a20fbfa04dd0acf'],False,['raylab\\envs\\industrial_benchmark\\dynamics\\op_cost.py']
